Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
LYTS,LSI Industries Inc.,8.73,$214.56M,1985,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/lyts,
LULU,lululemon athletica inc.,53.81,$7.03B,2007,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/lulu,
LITE,Lumentum Holdings Inc.,14.47,$852.54M,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/lite,
LMNX,Luminex Corporation,17.98,$773.99M,2000,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/lmnx,
LMOS,Lumos Networks Corp.,12.42,$284.42M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/lmos,
LUNA,Luna Innovations Incorporated,0.99,$27.28M,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/luna,
MBTF,M B T Financial Corp,6.45,$146.74M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mbtf,
MTSI,M/A-COM Technology Solutions Holdings Inc.,32.87,$1.74B,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/mtsi,
MCBC,Macatawa Bank Corporation,5.16,$174.75M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mcbc,
MFNC,Mackinac Financial Corporation,10,$62.39M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mfnc,
MCUR,MACROCURE LTD.,3.7,$61.8M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/mcur,
MGNX,MacroGenics Inc.,26.01,$889.43M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mgnx,
MCBK,Madison County Financial Inc.,21.46,$63.67M,2012,Finance,Savings Institutions,http://www.nasdaq.com/symbol/mcbk,
MAGS,Magal Security Systems Ltd.,4.19,$68.61M,1993,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/mags,
MGLN,Magellan Health Inc.,49.99,$1.35B,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/mgln,
MPET,Magellan Petroleum Corporation,0.726,$4.14M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mpet,
MGIC,Magic Software Enterprises Ltd.,5.65,$249.58M,1991,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mgic,
CALL,magicJack VocalTec Ltd,9.9,$165.34M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/call,
MNGA,MagneGas Corporation,1.27,$52.34M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mnga,
MGYR,Magyar Bancorp Inc.,9.75,$56.74M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/mgyr,
MHLD,Maiden Holdings Ltd.,15.18,$1.12B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mhld,
MHLDO,Maiden Holdings Ltd.,53.8801,$177.8M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mhldo,
MSFG,MainSource Financial Group Inc.,21.69,$469.04M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/msfg,
COOL,Majesco Entertainment Company,1.34,$12.95M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cool,
MMYT,MakeMyTrip Limited,16.91,$710M,2010,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/mmyt,
MBUU,Malibu Boats Inc.,14.93,$266.96M,2014,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/mbuu,
MLVF,Malvern Bancorp Inc.,15.99,$104.87M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/mlvf,
MAMS,MAM Software Group Inc.,5.95,$84.93M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mams,
MANH,Manhattan Associates Inc.,67.56,$4.96B,1998,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/manh,
LOAN,Manhattan Bridge Capital Inc,4.17,$30.13M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/loan,
MNTX,Manitex International Inc.,6.92,$110.82M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mntx,
MTEX,Mannatech Incorporated,21.8,$58.45M,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/mtex,
MNKD,MannKind Corporation,3.1,$1.28B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mnkd,
MANT,ManTech International Corporation,27.25,$1.02B,2002,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/mant,
MARA,Marathon Patent Group Inc.,1.92,$27.5M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/mara,
MCHX,Marchex Inc.,4.16,$176.03M,2004,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/mchx,
MARPS,Marine Petroleum Trust,6.02,$12.04M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/marps,
MRNS,Marinus Pharmaceuticals Inc.,8.51,$121.65M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mrns,
MKTX,MarketAxess Holdings Inc.,96.73,$3.61B,2004,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/mktx,
MKTO,Marketo Inc.,33.71,$1.44B,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mkto,
MRKT,Markit Ltd.,30.54,$6.17B,2014,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/mrkt,
MRLN,Marlin Business Services Corp.,16.53,$211.11M,2003,Finance,Major Banks,http://www.nasdaq.com/symbol/mrln,
MAR,Marriott International,73.83,$19.63B,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mar,
MBII,Marrone Bio Innovations Inc.,3.49,$85.15M,2013,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/mbii,
MRTN,Marten Transport Ltd.,17.21,$578.59M,1986,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/mrtn,
MMLP,Martin Midstream Partners L.P.,29.43,$1.04B,2002,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/mmlp,
MRVL,Marvell Technology Group Ltd.,9.35,$4.84B,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/mrvl,
MASI,Masimo Corporation,41,$2.09B,2007,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/masi,
MTLS,Materialise NV,8.24,$388.49M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mtls,
MTRX,Matrix Service Company,23.49,$619.71M,1990,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/mtrx,
